"name","capital_city_name","capital_city_population","capital_city_area","longitude","latitude","mayor"
"Suriname","Paramaribo",254147,182.0,5.85222,-55.20389,"NULL"
"Sweden","Stockholm",962154,188.0,59.32944,18.06861,"Anna König Jerlmyr"
"Switzerland","Bern",121631,51.62,46.94806,7.4475,"Stadtpräsident"
"Syria","Damascus",3500000,105.0,33.51306,36.29194,"NULL"
"S?o Tomé and Príncipe","S?o Tomé",56166,17.0,0.33611,6.73056,"NULL"
"Tajikistan","Dushanbe",582496,124.6,38.53667,68.78,"Rustam Emomali"
"Tanzania","Dodoma",287200,2576.0,-6.17306,35.74194,"Davis G. Mwamfupe"
"Thailand","Bangkok",8305218,1568.737,13.7525,100.49417,"Aswin Kwanmuang"
"The Bahamas","Nassau",248948,207.0,25.067,-77.333,"NULL"
"The Gambia","Banjul",34828,12.0,13.45306,-16.5775,"Rohey Malick Lowe"
"Togo","Lomé",824738,99.14,6.13194,1.22278,"Aouissi Lodé"
"Tonga","Nuku?alofa",22400,"NULL",-21.13333,-175.2,"NULL"
"Trinidad and Tobago","Port of Spain",50479,12.0,10.667,-61.517,"Joel Martinez, PNM"
"Tunisia","Tunis",767629,212.63,36.80639,10.18167,"Souad Abderrahim"
"Turkey","Ankara",5445026,24521.0,39.93,32.85,"Mansur Yavaº"
"Turkmenistan","Ashgabat",763537,440.0,37.9375,58.38,"Ýaztagan Gylyjow"
"Tuvalu","Funafuti",4492,2.4,-8.517,179.2,"NULL"
"Uganda","Kampala",1659600,189.0,0.31361,32.58111,"Erias Lukwago"
"Ukraine","Kyiv",2847200,839.0,50.45,30.52333,"Vitali Klitschko"
"United Arab Emirates","Abu Dhabi",585097,972.0,24.467,54.367,"HE Saif Badr Al Qubaisi"
"United Kingdom","London",8908081,1572.0,51.50722,-0.1275,"Sadiq Khan"
"United States","Washington, D.C.",705749,177.0,38.9101,-77.0147,"Washington DullesReagan NationalBaltimore/Washington"
"Uruguay","Montevideo",1369797,201.0,-34.88361,-56.18194,"Carolina Cosse"
"Uzbekistan","Tashkent",2207850,334.8,41.3,69.267,"NULL"
"Vanuatu","Port Vila",38000,23.6,-17.733,168.317,"Erick Puyo Festa"
"Vatican City","Vatican City",825,0.49,41.904755,12.454628,"NULL"
"Venezuela","Caracas",1838939,433.0,10.48056,-66.90361,"NULL"
"Vietnam","Hanoi",8053663,3358.6,21.02833,105.85417,"Chu Ng?c Anh"
"Yemen","Sana'a",1431649,126.0,15.34833,44.20639,"NULL"
"Zambia","Lusaka",1331254,418.0,-15.417,28.283,"Miles Sampa"
"Zimbabwe","Harare",1487028,960.6,-17.82917,31.05222,"Jacob Mafume"
